id, x, y, grav, label
1, -65, -33, 55.0, 2
8, -63, -33, 35.0, 3
13, -62, -36, 50.0, 3
30, -59, -29, 40.0, 3
39, -55, -40, 45.0, 3
40, -55, -34, 30.0, 3
41, -55, -30, 30.0, 3
49, -52, -36, 35.0, 3
50, -52, -30, 60.0, 2
51, -52, -26, 35.0, 3
53, -51, -33, 30.0, 3
58, -49, -17, 30.0, 3
60, -48, -20, 35.0, 3
65, -46, -39, 55.0, 2
66, -46, -29, 50.0, 3
68, -45, -32, 25.0, 4
76, -41, -40, 40.0, 3
78, -40, -32, 25.0, 4
79, -40, -30, 25.0, 4
81, -39, -40, 40.0, 3
85, -37, -38, 50.0, 3
94, -32, -32, 30.0, 3
97, -31, -32, 25.0, 4
99, -30, -31, 35.0, 3
101, -29, -33, 40.0, 3
111, -26, -28, 40.0, 3
118, -22, -36, 50.0, 3
120, -21, -28, 15.0, 4
128, -18, -21, 25.0, 4
133, -16, -32, 30.0, 3
134, -15, -24, 15.0, 4
137, -13, -39, 60.0, 2
144, -9, -34, 20.0, 4
149, -6, -37, 25.0, 4
153, -4, -18, 55.0, 2
158, 0, -25, 50.0, 3
164, 3, -30, 35.0, 3
171, 7, -28, 40.0, 3
175, 9, -34, 20.0, 4
177, 11, -36, 25.0, 4
179, 12, -31, 45.0, 3
193, 21, -34, 20.0, 4
